Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Multiple Sclerosis	C0026769	RGS1	5996	Q08116	regulator of G protein signaling 1	Enzyme modulator	47	0.653	0.731	0.78178	0.13		0.75	4	1	2010.0	2016.0
Multiple Sclerosis	C0026769	CXCR5	643	P32302	C-X-C motif chemokine receptor 5	G-protein coupled receptor	146	0.524	0.769	0.72861	0.13		1.0	4	3	2008.0	2018.0
Multiple Sclerosis	C0026769	CD86	942	P42081	CD86 molecule		219	0.483	0.769	0.94879	0.13		1.0	4	2	2011.0	2018.0
Parkinson Disease	C0030567	NUCKS1	64710	Q9H1E3	nuclear casein kinase and cyclin dependent kinase substrate 1		36	0.691	0.5	0.96937	0.13		1.0	5	2	2009.0	2017.0
Parkinson Disease	C0030567	HIP1R	9026	O75146	huntingtin interacting protein 1 related	Cellular structure	29	0.7	0.423	1.4566e-15	0.13		1.0	4	1	2012.0	2015.0
Autism Spectrum Disorders	C1510586	DEAF1	10522	O75398	DEAF1 transcription factor		156	0.575	0.615	0.00034113	0.13		1.0	4	1	2018.0	2020.0
Autism Spectrum Disorders	C1510586	EHMT1	79813	Q9H9B1	euchromatic histone lysine methyltransferase 1	Epigenetic regulator	371	0.46	0.808	1.0	0.13		1.0	4	1	2012.0	2017.0
Alzheimer's Disease	C0002395	SPON1	10418	Q9HCB6	spondin 1	Extracellular structure	31	0.705	0.385		0.12		0.5	2	2	2014.0	2018.0
Alzheimer's Disease	C0002395	SLC24A4	123041	Q8NFF2	solute carrier family 24 member 4	Transporter	16	0.751	0.346	2.2032e-11	0.12		1.0	7	4	2013.0	2019.0
Alzheimer's Disease	C0002395	IL34	146433	Q6ZMJ4	interleukin 34		103	0.56	0.769	0.55444	0.12		1.0	3	1	2017.0	2018.0
Alzheimer's Disease	C0002395	GLIS3	169792	Q8NEA6	GLIS family zinc finger 3		105	0.59	0.654	5.5977e-08	0.12		1.0	2	1	2013.0	2018.0
Alzheimer's Disease	C0002395	MTHFD1L	25902	Q6UB35	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	Enzyme	41	0.674	0.538	1.9355e-12	0.12		0.667	3	1	2010.0	2011.0
Alzheimer's Disease	C0002395	IL6R	3570	P08887	interleukin 6 receptor	Signaling	261	0.471	0.846	3.1681e-05	0.12		1.0	3	1	2003.0	2014.0
Alzheimer's Disease	C0002395	DCHS2	54798	Q6V1P9	dachsous cadherin-related 2		10	0.839	0.385	7.4152e-47	0.12		1.0	2	3	2012.0	2016.0
Alzheimer's Disease	C0002395	AICDA	57379	Q9GZX7	activation induced cytidine deaminase	Enzyme	265	0.463	0.885	9.2098e-06	0.12		0.667	3	1	2002.0	2020.0
Alzheimer's Disease	C0002395	BCL3	602	P20749	BCL3 transcription coactivator		136	0.541	0.731	0.98871	0.12		1.0	9	9	1993.0	2019.0
Alzheimer's Disease	C0002395	SPI1	6688	P17947	Spi-1 proto-oncogene	Transcription factor	58	0.631	0.654	0.98206	0.12		1.0	3	2	2017.0	2018.0
Alzheimer's Disease	C0002395	TGFB2	7042	P61812	transforming growth factor beta 2	Signaling	389	0.433	0.885	0.99905	0.12		1.0	3	1	1995.0	2017.0
Alzheimer's Disease	C0002395	COL18A1	80781	P39060	collagen type XVIII alpha 1 chain		323	0.449	0.808	1.7414e-10	0.12		1.0	3	1	2002.0	2016.0
Alzheimer's Disease	C0002395	MEGF10	84466	Q96KG7	multiple EGF like domains 10	Extracellular structure	41	0.682	0.462	0.3904	0.12		1.0	3	1	2010.0	2017.0
Alzheimer's Disease	C0002395	TRIP4	9325	Q15650	thyroid hormone receptor interactor 4	Transcription factor	78	0.641	0.654	5.9901e-07	0.12		1.0	3	1	2013.0	2014.0
Alzheimer's Disease	C0002395	CADPS2	93664	Q86UW7	calcium dependent secretion activator 2	Calcium-binding protein	40	0.716	0.231	0.36785	0.12		1.0	3	2	2013.0	2017.0
Dystonia	C0013421	BCAP31	10134	P51572	B cell receptor associated protein 31	Transporter	101	0.579	0.808	0.43366	0.12		1.0	2	0	2012.0	2015.0
Dystonia	C0013421	LRRK2	120892	Q5S007	leucine rich repeat kinase 2	Kinase	231	0.51	0.808	2.5757e-30	0.12		1.0	2	1	2007.0	2016.0
Dystonia	C0013421	COQ8A	56997	Q8NI60	coenzyme Q8A	Kinase	64	0.674	0.385	9.2856e-11	0.12		1.0	2	0	2017.0	2019.0
Dystonia	C0013421	TBP	6908	P20226	TATA-box binding protein	Transcription factor	158	0.552	0.846	0.015031	0.12		1.0	2	0	2015.0	2017.0
Multiple Sclerosis	C0026769	MERTK	10461	Q12866	MER proto-oncogene, tyrosine kinase	Kinase	154	0.531	0.692	2.6593e-11	0.12		1.0	3	1	2011.0	2016.0
Multiple Sclerosis	C0026769	SP140	11262	Q13342	SP140 nuclear body protein		32	0.691	0.577	4.9994e-08	0.12		0.75	4	2	2011.0	2018.0
Multiple Sclerosis	C0026769	GALC	2581	P54803	galactosylceramidase		99	0.604	0.615	5.2142e-15	0.12		1.0	3	1	2013.0	2018.0
Multiple Sclerosis	C0026769	GFI1	2672	Q99684	growth factor independent 1 transcriptional repressor	Transcription factor	132	0.546	0.769	0.25492	0.12		1.0	3	1	2010.0	2016.0
Multiple Sclerosis	C0026769	HSPA1L	3305	P34931	heat shock protein family A (Hsp70) member 1 like		65	0.603	0.654	1.057e-06	0.12		1.0	3	2	2001.0	2016.0
Multiple Sclerosis	C0026769	TMEM39A	55254	Q9NV64	transmembrane protein 39A		6	0.839	0.231	0.95467	0.12		0.667	3	1	2010.0	2012.0
Multiple Sclerosis	C0026769	PTPN2	5771	P17706	protein tyrosine phosphatase non-receptor type 2		134	0.538	0.692	0.99953	0.12		1.0	3	1	2011.0	2017.0
Multiple Sclerosis	C0026769	RPS6KB1	6198	P23443	ribosomal protein S6 kinase B1	Kinase	169	0.511	0.731	0.97285	0.12		1.0	4	2	2011.0	2019.0
Multiple Sclerosis	C0026769	MMEL1	79258	Q495T6	membrane metalloendopeptidase like 1	Enzyme	74	0.606	0.692	1.2441e-22	0.12		1.0	5	3	2010.0	2014.0
Multiple Sclerosis	C0026769	ANKRD55	79722	Q3KP44	ankyrin repeat domain 55		46	0.65	0.462	6.7577e-08	0.12		1.0	5	2	2011.0	2019.0
Parkinson Disease	C0030567	MAPT-AS1	100128977		MAPT antisense RNA 1		34	0.711	0.269		0.12		1.0	6	32	2009.0	2019.0
Parkinson Disease	C0030567	BCKDK	10295	O14874	branched chain keto acid dehydrogenase kinase	Kinase	12	0.769	0.154	5.6598e-05	0.12		1.0	4	1	2014.0	2019.0
Parkinson Disease	C0030567	RAI1	10743	Q7Z5J4	retinoic acid induced 1	Transcription factor	205	0.545	0.731	1.0	0.12		1.0	2	2	2011.0	2016.0
Alzheimer's Disease	C0002395	TSPOAP1-AS1	100506779		TSPOAP1, SUPT4H1 and RNF43 antisense RNA 1		21	0.792	0.346		0.11		1.0	3	2	2017.0	2019.0
Alzheimer's Disease	C0002395	CDH13	1012	P55290	cadherin 13		205	0.501	0.846	0.0007058	0.11		1.0	2	1	2016.0	2018.0
Alzheimer's Disease	C0002395	CELF2	10659	O95319	CUGBP Elav-like family member 2		58	0.628	0.692	0.99965	0.11		1.0	2	5	2011.0	2015.0
Alzheimer's Disease	C0002395	OSBPL6	114880	Q9BZF3	oxysterol binding protein like 6		3	1.0	0.077	0.99999	0.11		1.0	1	1	2016.0	2016.0
Alzheimer's Disease	C0002395	NDUFAF6	137682	Q330K2	NADH:ubiquinone oxidoreductase complex assembly factor 6		67	0.659	0.615	9.0736e-08	0.11		1.0	3	2	2013.0	2019.0
Alzheimer's Disease	C0002395	AP2A2	161	O94973	adaptor related protein complex 2 subunit alpha 2	Receptor	11	0.76	0.423	1.0	0.11		1.0	2	2	2013.0	2018.0
Alzheimer's Disease	C0002395	DSG2	1829	Q14126	desmoglein 2	Cell adhesion	83	0.601	0.692	2.7913e-10	0.11		1.0	2	1	2017.0	2019.0
Alzheimer's Disease	C0002395	EPHX2	2053	P34913	epoxide hydrolase 2	Enzyme	97	0.568	0.654	1.7936e-21	0.11		1.0	2	3	2017.0	2018.0
Alzheimer's Disease	C0002395	SORCS3	22986	Q9UPU3	sortilin related VPS10 domain containing receptor 3	Transporter	22	0.76	0.231	3.7354e-05	0.11		1.0	2	1	2013.0	2016.0
Alzheimer's Disease	C0002395	LAMA1	284217	P25391	laminin subunit alpha 1		107	0.582	0.808	3.2248e-32	0.11		1.0	2	1	2002.0	2016.0
Alzheimer's Disease	C0002395	LUZP2	338645	Q86TE4	leucine zipper protein 2		10	0.821	0.346	2.3478e-10	0.11		1.0	2	2	2012.0	2018.0
Alzheimer's Disease	C0002395	RBFOX1	54715	Q9NWB1	RNA binding fox-1 homolog 1	Nucleic acid binding	103	0.584	0.692	0.95263	0.11		1.0	2	1	2016.0	2017.0
Alzheimer's Disease	C0002395	MAPK7	5598	Q13164	mitogen-activated protein kinase 7	Kinase	127	0.553	0.654	0.0031023	0.11		1.0	2	1	2019.0	2019.0
Alzheimer's Disease	C0002395	FMN2	56776	Q9NZ56	formin 2		88	0.61	0.538	0.99772	0.11		1.0	2	1	2014.0	2017.0
Alzheimer's Disease	C0002395	PTPRG	5793	P23470	protein tyrosine phosphatase receptor type G	Enzyme	70	0.619	0.731	5.0736e-06	0.11		1.0	1	1	2016.0	2016.0
Alzheimer's Disease	C0002395	EXOC4	60412	Q96A65	exocyst complex component 4	Transporter	20	0.743	0.5	3.4137e-13	0.11		1.0	2	1	2013.0	2014.0
Alzheimer's Disease	C0002395	SGK1	6446	O00141	serum/glucocorticoid regulated kinase 1	Kinase	188	0.506	0.769	0.0023046	0.11		1.0	2	1	2016.0	2017.0
Alzheimer's Disease	C0002395	ST6GAL1	6480	P15907	ST6 beta-galactoside alpha-2,6-sialyltransferase 1		101	0.569	0.731	0.2341	0.11		1.0	2	1	2017.0	2019.0
Alzheimer's Disease	C0002395	TCF7L2	6934	Q9NQB0	transcription factor 7 like 2		257	0.485	0.846	0.99537	0.11		1.0	2	1	2006.0	2019.0
Alzheimer's Disease	C0002395	UBE2L3	7332	P68036	ubiquitin conjugating enzyme E2 L3	Enzyme	56	0.644	0.615	0.83844	0.11		1.0	2	1	1995.0	2019.0
Alzheimer's Disease	C0002395	ZAP70	7535	P43403	zeta chain of T cell receptor associated protein kinase 70	Kinase	212	0.497	0.769	0.87696	0.11		1.0	2	1	2016.0	2017.0
Alzheimer's Disease	C0002395	TLN2	83660	Q9Y4G6	talin 2		21	0.76	0.231	0.99231	0.11		1.0	2	2	2010.0	2018.0
Alzheimer's Disease	C0002395	SPPL2A	84888	Q8TCT8	signal peptide peptidase like 2A	Enzyme	22	0.792	0.192	0.028995	0.11		1.0	2	1	2013.0	2019.0
Alzheimer's Disease	C0002395	SUCLG2	8801	Q96I99	succinate-CoA ligase GDP-forming subunit beta	Enzyme	16	0.78	0.308	5.7163e-14	0.11		1.0	1	1	2014.0	2014.0
Alzheimer's Disease	C0002395	ALDH1A2	8854	O94788	aldehyde dehydrogenase 1 family member A2	Enzyme	109	0.578	0.692	0.36331	0.11		1.0	2	2	2004.0	2019.0
Alzheimer's Disease	C0002395	SLC16A7	9194	O60669	solute carrier family 16 member 7	Transporter	39	0.682	0.538	0.0058162	0.11		1.0	2	1	2010.0	2019.0
Alzheimer's Disease	C0002395	OTOF	9381	Q9HC10	otoferlin	Transporter	34	0.691	0.385	5.3804e-39	0.11		1.0	2	1	2014.0	2016.0
Dystonia	C0013421	CYP2U1	113612	Q7Z449	cytochrome P450 family 2 subfamily U member 1		34	0.722	0.462	0.0014201	0.11		1.0	1	0	2016.0	2016.0
Dystonia	C0013421	NDUFAF6	137682	Q330K2	NADH:ubiquinone oxidoreductase complex assembly factor 6		67	0.659	0.615	9.0736e-08	0.11		1.0	1	0	2019.0	2019.0
Dystonia	C0013421	SETX	23064	Q7Z333	senataxin	Enzyme	133	0.57	0.731	0.95483	0.11		1.0	1	0	2009.0	2009.0
Dystonia	C0013421	FTL	2512	P02792	ferritin light chain	Storage	135	0.559	0.692	1.6617e-09	0.11		1.0	1	0	2005.0	2005.0
Dystonia	C0013421	HIBCH	26275	Q6NVY1	3-hydroxyisobutyryl-CoA hydrolase	Enzyme	60	0.7	0.5	2.5766e-13	0.11		1.0	1	1	2019.0	2019.0
Dystonia	C0013421	GLB1	2720	P16278	galactosidase beta 1	Enzyme	385	0.448	0.808	7.9215e-10	0.11		0.0	1	0	1992.0	1992.0
Dystonia	C0013421	COX2	4513	P00403	cytochrome c oxidase subunit II	Enzyme	875	0.352	0.962		0.11		1.0	1	0	2017.0	2017.0
Dystonia	C0013421	ND1	4535	P03886	NADH dehydrogenase, subunit 1 (complex I)	Enzyme	260	0.522	0.769		0.11		1.0	1	0	2007.0	2007.0
Dystonia	C0013421	ND3	4537	P03897	NADH dehydrogenase, subunit 3 (complex I)		113	0.604	0.654		0.11		1.0	1	0	2007.0	2007.0
Dystonia	C0013421	NDUFA9	4704	Q16795	NADH:ubiquinone oxidoreductase subunit A9	Enzyme	56	0.653	0.385	0.0047988	0.11		1.0	1	0	2018.0	2018.0
Dystonia	C0013421	PDHA1	5160	P08559	pyruvate dehydrogenase E1 subunit alpha 1		129	0.581	0.538	0.98842	0.11		1.0	1	0	2004.0	2004.0
Dystonia	C0013421	ATP7B	540	P35670	ATPase copper transporting beta	Transporter	182	0.529	0.654	4.8001e-30	0.11	strong	1.0	1	0	2011.0	2011.0
Dystonia	C0013421	ZC4H2	55906	Q9NQZ6	zinc finger C4H2-type containing		151	0.561	0.731	0.90752	0.11		1.0	1	0	2019.0	2019.0
Dystonia	C0013421	TBC1D24	57465	Q9ULP9	TBC1 domain family member 24	Enzyme modulator	218	0.53	0.808	1.2788e-08	0.11		1.0	1	0	2019.0	2019.0
Dystonia	C0013421	SLC39A8	64116	Q9C0K1	solute carrier family 39 member 8	Transporter	138	0.584	0.769	0.66924	0.11		1.0	1	0	2019.0	2019.0
Dystonia	C0013421	SLC6A8	6535	P48029	solute carrier family 6 member 8	Transporter	274	0.476	0.846	0.99778	0.11		1.0	1	0	2012.0	2012.0
Dystonia	C0013421	NKX2-1	7080	P43699	NK2 homeobox 1	Transcription factor	319	0.457	0.808	0.35874	0.11		1.0	1	0	2007.0	2007.0
Dystonia	C0013421	CACNA1B	774	Q00975	calcium voltage-gated channel subunit alpha1 B	Ion channel	79	0.65	0.577	0.99998	0.11		1.0	1	0	2016.0	2016.0
Dystonia	C0013421	SQSTM1	8878	Q13501	sequestosome 1		470	0.428	0.885	0.00086035	0.11		1.0	1	0	2019.0	2019.0
Dystonia	C0013421	SCO2	9997	O43819	synthesis of cytochrome C oxidase 2	Enzyme	294	0.479	0.846	7.5473e-07	0.11		1.0	1	0	2017.0	2017.0
Multiple Sclerosis	C0026769	TSFM	10102	P43897	Ts translation elongation factor, mitochondrial	Nucleic acid binding	44	0.736	0.423	1.9197e-09	0.11		1.0	2	1	2013.0	2019.0
Multiple Sclerosis	C0026769	MPHOSPH9	10198	Q99550	M-phase phosphoprotein 9		15	0.805	0.269	1.6616e-10	0.11		1.0	2	1	2009.0	2010.0
Multiple Sclerosis	C0026769	MALT1	10892	Q9UDY8	MALT1 paracaspase	Enzyme	148	0.532	0.769	0.98651	0.11		1.0	2	1	2011.0	2017.0
Multiple Sclerosis	C0026769	ADAD1	132612	Q96M93	adenosine deaminase domain containing 1	Enzyme	8	0.821	0.269	0.038952	0.11		0.5	2	1	2009.0	2011.0
Multiple Sclerosis	C0026769	ZBTB46	140685	Q86UZ6	zinc finger and BTB domain containing 46	Enzyme	26	0.716	0.5	0.80852	0.11		1.0	3	1	2011.0	2019.0
Multiple Sclerosis	C0026769	CTSH	1512	P09668	cathepsin H	Enzyme	63	0.626	0.654	1.2518e-08	0.11		1.0	2	1	2011.0	2018.0
Multiple Sclerosis	C0026769	ZNF433	163059	Q8N7K0	zinc finger protein 433		3	0.89	0.154	0.012227	0.11		1.0	1	1	2010.0	2010.0
Multiple Sclerosis	C0026769	ERBB3	2065	P21860	erb-b2 receptor tyrosine kinase 3	Kinase	318	0.448	0.808	1.7003e-15	0.11		1.0	2	1	2011.0	2018.0
Multiple Sclerosis	C0026769	ICOSLG	23308	O75144	inducible T cell costimulator ligand		69	0.601	0.654	0.00035482	0.11		1.0	2	1	2003.0	2011.0
Multiple Sclerosis	C0026769	ICOS	29851	Q9Y6W8	inducible T cell costimulator		193	0.502	0.731	0.031284	0.11		1.0	2	1	2007.0	2011.0
Multiple Sclerosis	C0026769	HLA-DMB	3109	P28068	major histocompatibility complex, class II, DM beta	Immune response	41	0.638	0.615	0.0024627	0.11		1.0	2	3	1999.0	2007.0
Multiple Sclerosis	C0026769	HLA-DQA2	3118	P01906	major histocompatibility complex, class II, DQ alpha 2	Immune response	58	0.617	0.769	1.0089e-05	0.11		1.0	2	5	1989.0	2007.0
Multiple Sclerosis	C0026769	HLA-DRB4	3126	P13762	major histocompatibility complex, class II, DR beta 4	Immune response	87	0.565	0.846		0.11		1.0	2	1	2013.0	2019.0
Multiple Sclerosis	C0026769	IRGM	345611	A1A4Y4	immunity related GTPase M		57	0.617	0.538		0.11		1.0	2	1	2010.0	2011.0
Multiple Sclerosis	C0026769	IFNGR2	3460	P38484	interferon gamma receptor 2	Receptor	71	0.597	0.577	0.95281	0.11		1.0	2	1	2004.0	2013.0
Multiple Sclerosis	C0026769	IGHA1	3493	P01876	immunoglobulin heavy constant alpha 1		64	0.617	0.692		0.11		1.0	2	1	2005.0	2015.0
Multiple Sclerosis	C0026769	IL2RB	3560	P14784	interleukin 2 receptor subunit beta	Receptor	226	0.491	0.846	0.29095	0.11		1.0	2	1	2010.0	2011.0
Multiple Sclerosis	C0026769	IL13	3596	P35225	interleukin 13		587	0.386	0.846	0.014426	0.11		1.0	2	1	2011.0	2019.0
Multiple Sclerosis	C0026769	LRP2	4036	P98164	LDL receptor related protein 2		254	0.491	0.846	0.99999	0.11		1.0	2	1	2017.0	2018.0
Multiple Sclerosis	C0026769	METTL1	4234	Q9UBP6	methyltransferase like 1	Enzyme	3	0.931	0.154	0.001962	0.11		1.0	2	2	2009.0	2019.0
Multiple Sclerosis	C0026769	MST1	4485	P26927	macrophage stimulating 1	Enzyme	281	0.465	0.885	4.7831e-19	0.11		1.0	2	1	2009.0	2011.0
Multiple Sclerosis	C0026769	TET2	54790	Q6N021	tet methylcytosine dioxygenase 2		362	0.458	0.808	4.3334e-54	0.11		1.0	2	1	2013.0	2014.0
Multiple Sclerosis	C0026769	AHI1	54806	Q8N157	Abelson helper integration site 1		221	0.513	0.846	1.0773e-25	0.11		1.0	3	1	2011.0	2018.0
Multiple Sclerosis	C0026769	GSDMB	55876	Q8TAX9	gasdermin B		44	0.67	0.5	3.3446e-07	0.11		1.0	2	2	2011.0	2017.0
Multiple Sclerosis	C0026769	BTNL2	56244	Q9UIR0	butyrophilin like 2	Enzyme modulator	145	0.546	0.808	8.5607e-11	0.11		1.0	3	6	2006.0	2013.0
Multiple Sclerosis	C0026769	SLC2A4RG	56731	Q9NR83	SLC2A4 regulator	Transcription factor	66	0.615	0.692	0.21856	0.11		1.0	2	1	2013.0	2017.0
Multiple Sclerosis	C0026769	ZMIZ1	57178	Q9ULJ6	zinc finger MIZ-type containing 1		96	0.588	0.615	0.99937	0.11		1.0	5	4	2011.0	2019.0
Multiple Sclerosis	C0026769	PVT1	5820		Pvt1 oncogene		190	0.495	0.731		0.11		0.667	3	3	2011.0	2017.0
Multiple Sclerosis	C0026769	BACH2	60468	Q9BYV9	BTB domain and CNC homolog 2		130	0.539	0.731	0.99803	0.11		1.0	4	4	2011.0	2013.0
Multiple Sclerosis	C0026769	CFB	629	P00751	complement factor B		139	0.532	0.769	4.6696e-16	0.11		1.0	2	1	1979.0	2007.0
Multiple Sclerosis	C0026769	ATXN2	6311	Q99700	ataxin 2	Nucleic acid binding	341	0.482	0.808	0.85289	0.11		1.0	2	2	2004.0	2011.0
Multiple Sclerosis	C0026769	TRAF3	7187	Q13114	TNF receptor associated factor 3	Signaling	129	0.541	0.769	0.99869	0.11		1.0	2	1	2013.0	2019.0
Multiple Sclerosis	C0026769	INS-IGF2	723961	F8WCM5	INS-IGF2 readthrough		51	0.633	0.5	0.055811	0.11		1.0	2	1	2004.0	2011.0
Multiple Sclerosis	C0026769	VAV2	7410	P52735	vav guanine nucleotide exchange factor 2		40	0.663	0.577	3.1086e-06	0.11		1.0	1	1	2010.0	2010.0
Multiple Sclerosis	C0026769	VMP1	81671	Q96GC9	vacuole membrane protein 1	Signaling	47	0.674	0.462	0.96271	0.11		0.667	3	2	2013.0	2019.0
Multiple Sclerosis	C0026769	IQGAP1	8826	P46940	IQ motif containing GTPase activating protein 1	Enzyme modulator	109	0.56	0.692	0.99754	0.11		1.0	2	2	2013.0	2016.0
Multiple Sclerosis	C0026769	TNFSF15	9966	O95150	TNF superfamily member 15	Signaling	143	0.531	0.692	0.0028159	0.11		1.0	2	1	2011.0	2019.0
Parkinson Disease	C0030567	FAM47E	100129583	Q6ZV65	family with sequence similarity 47 member E		1	1.0	0.038	0.0017029	0.11		1.0	6	3	2009.0	2017.0
Parkinson Disease	C0030567	FAM47E-STBD1	100631383	Q6ZV65	FAM47E-STBD1 readthrough		1	1.0	0.038	7.6594e-12	0.11		1.0	6	3	2009.0	2017.0
Parkinson Disease	C0030567	LHFPL2	10184	Q6ZUX7	LHFPL tetraspan subfamily member 2		8	0.931	0.154	0.056209	0.11		1.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	TCEANC2	127428	Q96MN5	transcription elongation factor A N-terminal and central domain containing 2	Nucleic acid binding	1	1.0	0.038	2.7615e-07	0.11		1.0	2	1	2015.0	2015.0
Parkinson Disease	C0030567	DLG2	1740	Q15700	discs large MAGUK scaffold protein 2	Receptor	44	0.67	0.577	0.70796	0.11		1.0	4	2	2014.0	2018.0
Parkinson Disease	C0030567	INPP5F	22876	Q9Y2H2	inositol polyphosphate-5-phosphatase F		9	0.805	0.231	2.3623e-07	0.11		1.0	3	1	2014.0	2018.0
Parkinson Disease	C0030567	MMRN1	22915	Q13201	multimerin 1		272	0.465	0.846	2.0714e-25	0.11		1.0	2	1	2012.0	2012.0
Parkinson Disease	C0030567	KANSL1	284058	Q7Z3B3	KAT8 regulatory NSL complex subunit 1		140	0.592	0.731	0.99972	0.11		1.0	5	11	2008.0	2014.0
Parkinson Disease	C0030567	ITPKB	3707	P27987	inositol-trisphosphate 3-kinase B	Kinase	17	0.805	0.192	0.99994	0.11		1.0	2	1	2017.0	2020.0
Parkinson Disease	C0030567	LMNA	4000	P02545	lamin A/C		824	0.384	0.885	0.9994	0.11		1.0	2	1	2014.0	2019.0
Parkinson Disease	C0030567	NSF	4905	P46459	N-ethylmaleimide sensitive factor, vesicle fusing ATPase	Enzyme	40	0.659	0.577	0.018338	0.11		0.833	6	4	2009.0	2012.0
Parkinson Disease	C0030567	PAM	5066	P19021	peptidylglycine alpha-amidating monooxygenase	Enzyme	155	0.542	0.692	6.934e-06	0.11		1.0	2	1	2016.0	2017.0
Parkinson Disease	C0030567	BIN3	55909	Q9NQY0	bridging integrator 3		5	0.931	0.115	5.8224e-13	0.11		1.0	2	1	2017.0	2018.0
Parkinson Disease	C0030567	RREB1	6239	Q92766	ras responsive element binding protein 1		227	0.5	0.808	1.0	0.11		1.0	2	1	2006.0	2019.0
Parkinson Disease	C0030567	SH3GL2	6456	Q99962	SH3 domain containing GRB2 like 2, endophilin A1		37	0.659	0.5	0.00011862	0.11		1.0	4	3	2012.0	2019.0
Parkinson Disease	C0030567	TPM1	7168	P09493	tropomyosin 1	Cellular structure	117	0.56	0.615	0.0010165	0.11		1.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	ITGA8	8516	P53708	integrin subunit alpha 8		46	0.641	0.577	6.0785e-13	0.11		1.0	3	2	2012.0	2018.0
Autism Spectrum Disorders	C1510586	HEPACAM	220296	Q14CZ8	hepatic and glial cell adhesion molecule		70	0.621	0.5	0.86791	0.11		1.0	2	1	2014.0	2019.0
Autism Spectrum Disorders	C1510586	PPP2R5D	5528	Q14738	protein phosphatase 2 regulatory subunit B'delta	Enzyme	33	0.722	0.462	0.99993	0.11		1.0	1	1	2016.0	2016.0
Alzheimer's Disease	C0002395	ZGLP1	100125288	P0C6A0	zinc finger GATA like protein 1		186	0.512	0.808	0.3868	0.1		1.0	14	0	1999.0	2020.0
Alzheimer's Disease	C0002395	SLC8A1-AS1	100128590		SLC8A1 antisense RNA 1		13	0.792	0.231		0.1		1.0	1	1	2014.0	2014.0
Alzheimer's Disease	C0002395	LINC00476	100128782	Q8WZB0	long intergenic non-protein coding RNA 476		2	1.0	0.077		0.1		1.0	1	1	2016.0	2016.0
Alzheimer's Disease	C0002395	INHCAP	100129696		inhibitor of carbonic anhydrase pseudogene		17	0.89	0.231		0.1		1.0	1	1	2016.0	2016.0
Alzheimer's Disease	C0002395	HDAC6	10013	Q9UBN7	histone deacetylase 6	Epigenetic regulator	288	0.465	0.846	1.0	0.1		1.0	12	0	2008.0	2020.0
Alzheimer's Disease	C0002395	TRIM51CP	100130105		tripartite motif-containing 51C, pseudogene		1	1.0	0.077		0.1		1.0	1	1	2016.0	2016.0
Alzheimer's Disease	C0002395	LINC00271	100131814	P0C7V0	long intergenic non-protein coding RNA 271		20	0.769	0.192		0.1		1.0	1	1	2018.0	2018.0
Alzheimer's Disease	C0002395	SDR42E2	100288072	A6NKP2	short chain dehydrogenase/reductase family 42E, member 2		1	1.0	0.077	1.3652e-08	0.1		1.0	1	1	2016.0	2016.0
Alzheimer's Disease	C0002395	BACE1-AS	100379571		BACE1 antisense RNA		14	0.76	0.385		0.1		1.0	14	2	2005.0	2019.0
Alzheimer's Disease	C0002395	PGAM5P1	100421133		PGAM family member 5, mitochondrial serine/threonine protein phosphatase pseudogene 1		1	1.0	0.077		0.1		1.0	1	1	2014.0	2014.0
Alzheimer's Disease	C0002395	LINC01672	100505887		long intergenic non-protein coding RNA 1672		268	0.462	0.846		0.1		1.0	11	0	2008.0	2019.0
Alzheimer's Disease	C0002395	ARL17B	100506084	Q8IVW1	ADP ribosylation factor like GTPase 17B		17	0.78	0.269	0.33578	0.1		1.0	2	1	2016.0	2019.0
Alzheimer's Disease	C0002395	KRBOX1	100506243	C9JBD0	KRAB box domain containing 1		12	1.0	0.077	0.017643	0.1		1.0	1	1	2014.0	2014.0
Alzheimer's Disease	C0002395	ALOX12-AS1	100506713		ALOX12 antisense RNA 1		3	0.931	0.077	0.17573	0.1		1.0	1	1	2016.0	2016.0
Alzheimer's Disease	C0002395	AZIN1-AS1	100506753		AZIN1 antisense RNA 1		4	1.0	0.077		0.1		1.0	1	1	2012.0	2012.0
Alzheimer's Disease	C0002395	APOC4-APOC2	100533990		APOC4-APOC2 readthrough (NMD candidate)		23	0.821	0.308		0.1		1.0	1	2	2018.0	2018.0
Alzheimer's Disease	C0002395	DNM1L	10059	O00429	dynamin 1 like	Enzyme modulator	273	0.475	0.808	0.00056753	0.1		1.0	23	0	2009.0	2020.0
Alzheimer's Disease	C0002395	GPC6	10082	Q9Y625	glypican 6		86	0.626	0.654	0.14181	0.1		1.0	1	1	2014.0	2014.0
Alzheimer's Disease	C0002395	COX10-AS1	100874058		COX10 antisense RNA 1		8	0.805	0.192		0.1		1.0	1	1	2016.0	2016.0
Alzheimer's Disease	C0002395	OVCH1-AS1	101055625		OVCH1 antisense RNA 1		1	1.0	0.077	0.46492	0.1		1.0	1	1	2016.0	2016.0
